Store Name,Address,Rating,Total Ratings
Bunnings Port Melbourne,"501 Williamstown Rd, Port Melbourne VIC 3207, Australia",4.2,2826
Bunnings Collingwood,"179-201 Victoria Parade, Collingwood VIC 3066, Australia",4.2,2490
Bunnings West Footscray,"Cnr Geelong Rd &, Geelong St, West Footscray VIC 3012, Australia",4.3,1868
Bunnings Brunswick,"415 Sydney Rd, Brunswick VIC 3056, Australia",3.9,1134
Bunnings Hawthorn,"230 Burwood Rd, Hawthorn VIC 3122, Australia",4.1,2184
Bunnings Maribyrnong,"Cnr Rosamond Rd &, Williamson Rd, Maribyrnong VIC 3032, Australia",4.3,2278
Bunnings Preston,"64-74 Bell St, Preston VIC 3072, Australia",4.1,786
Bunnings Fairfield,"266 Darebin Rd, Fairfield VIC 3078, Australia",4.1,780
Bunnings Coburg,"64-96 Gaffney St, Coburg VIC 3058, Australia",4.1,2198
Bunnings Sunshine,"480 Ballarat Rd, Sunshine VIC 3020, Australia",4,2049
Bunnings Altona,"Cnr Millers and, Ross Rd, Altona VIC 3018, Australia",4.3,1723
Bunnings Moorabbin,"Corner Fairchild Street &, Warrigal Rd, Moorabbin VIC 3189, Australia",4.2,1801
Bunnings Oakleigh,"1041 Centre Rd, Oakleigh South VIC 3167, Australia",4.2,1842
Bunnings Box Hill,"259 Middleborough Rd, Box Hill VIC 3128, Australia",4.3,2172
Bunnings Doncaster,"659 Doncaster Rd, Doncaster VIC 3108, Australia",4,722
Bunnings Chadstone,"675-685 Warrigal Rd, Chadstone VIC 3148, Australia",4.1,1225
Bunnings Springvale,"849 Princes Hwy, Springvale VIC 3171, Australia",4.3,2674
Bunnings Notting Hill,"232-256 Ferntree Gully Rd, Notting Hill VIC 3168, Australia",4.2,1989
Bunnings Thomastown,"11 Dalton Rd, Thomastown VIC 3074, Australia",4.2,2219
Bunnings Mentone,"23-27 Nepean Hwy, Mentone VIC 3194, Australia",4.3,2090
Bunnings Nunawading,"250 Whitehorse Rd, Nunawading VIC 3131, Australia",4.2,2189
Bunnings Taylors Lakes,"430 Melton Hwy, Taylors Lakes VIC 3038, Australia",4,1608
Bunnings Hoppers Crossing,"221-231 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",4.2,4294
Bunnings Epping,"310 Cooper St, Epping VIC 3076, Australia",4.2,2407
Bunnings Caroline Springs,"1067/1125 Western Hwy, Caroline Springs VIC 3023, Australia",4.2,1914
Bunnings Broadmeadows,"100 Pearcedale Parade, Broadmeadows VIC 3047, Australia",4,2194
Bunnings Tarneit,"660 Leakes Rd, Tarneit VIC 3029, Australia",4.1,1014
Bunnings Eltham,"Silver St, Eltham VIC 3095, Australia",3.9,1435
Bunnings Mill Park,"761 Plenty Rd, Mill Park VIC 3082, Australia",4.1,1629
Bunnings Vermont South,"606-634 Burwood Hwy, Vermont South VIC 3133, Australia",4.2,1825
Bunnings Scoresby,"1467 Ferntree Gully Rd, Scoresby VIC 3179, Australia",4.2,2219
Bunnings Bayswater,"183/225 Canterbury Rd, Bayswater VIC 3153, Australia",4.3,2437
Bunnings Craigieburn,"700 Hume Hwy, Craigieburn VIC 3064, Australia",4.2,2417
Bunnings Keysborough,"Cheltenham Rd &, Springvale Rd, Keysborough VIC 3173, Australia",4.2,2110
Bunnings Ringwood,"Charter St, Ringwood VIC 3134, Australia",4.1,1130
Bunnings Mernda,"1405 Plenty Rd, Mernda VIC 3754, Australia",4.3,1240
Bunnings National Support Centre,"570 Swan St, Burnley VIC 3121, Australia",3,118
Bunnings Dandenong,"101 Princes Hwy, Dandenong South VIC 3175, Australia",4.2,2280
Bunnings Carrum Downs,"600 Frankston - Dandenong Rd, Carrum Downs VIC 3201, Australia",4.3,1783
Bunnings Werribee,"55 Cherry St, Werribee VIC 3030, Australia",3.9,1403
